access_id,memory_address,operation,cache_result
428,173,WRITE,MISS
429,173,READ,HIT
430,173,READ,HIT
431,172,WRITE,HIT
432,219,READ,MISS
433,217,READ,MISS
434,217,WRITE,HIT
435,217,WRITE,HIT
436,215,READ,MISS
437,215,WRITE,HIT
438,240,READ,MISS
439,240,READ,HIT
440,241,READ,MISS
441,241,WRITE,HIT
442,240,READ,HIT
443,240,READ,HIT
444,238,READ,MISS
445,237,WRITE,MISS
446,239,READ,MISS
447,238,READ,HIT
448,236,WRITE,MISS
449,236,READ,HIT
450,237,READ,HIT
451,238,READ,HIT
452,238,WRITE,HIT
453,239,WRITE,HIT
454,240,READ,HIT
455,239,WRITE,HIT
456,237,READ,HIT
457,237,READ,HIT
458,236,WRITE,HIT
459,237,READ,HIT
460,238,READ,HIT
461,237,WRITE,HIT
462,239,READ,HIT
463,9,READ,MISS
464,8,READ,MISS
465,10,WRITE,MISS
466,12,READ,MISS
467,13,READ,MISS
468,14,READ,MISS
469,15,WRITE,MISS
470,14,READ,HIT
471,16,READ,MISS
472,15,WRITE,HIT
473,14,READ,HIT
474,13,READ,HIT
475,15,WRITE,HIT
476,13,READ,HIT
477,13,WRITE,HIT
478,12,WRITE,HIT
479,14,WRITE,HIT
480,14,READ,HIT
481,15,READ,HIT
482,14,WRITE,HIT
483,16,WRITE,HIT
484,16,WRITE,HIT
485,170,WRITE,MISS
486,192,WRITE,MISS
487,194,READ,MISS
488,192,WRITE,HIT
489,194,READ,HIT
490,255,WRITE,MISS
491,255,WRITE,HIT
492,253,READ,MISS
493,247,WRITE,MISS
494,246,WRITE,MISS
495,245,WRITE,MISS
496,243,READ,MISS
497,241,READ,MISS
498,242,READ,MISS
499,243,WRITE,HIT
500,250,READ,MISS
501,46,WRITE,MISS
502,188,WRITE,MISS
503,12,WRITE,MISS
504,79,READ,MISS
505,80,READ,MISS
506,80,WRITE,HIT
507,82,WRITE,MISS
508,80,READ,HIT
509,81,WRITE,MISS
510,81,WRITE,HIT
511,82,READ,HIT
512,83,WRITE,MISS
513,83,READ,HIT
514,224,READ,MISS
515,223,WRITE,MISS
516,222,WRITE,MISS
517,94,READ,MISS
518,92,WRITE,MISS
519,92,WRITE,HIT
520,90,WRITE,MISS
521,89,WRITE,MISS
522,87,WRITE,MISS
523,229,WRITE,MISS
524,228,WRITE,MISS
525,227,READ,MISS
526,228,READ,HIT
527,229,READ,HIT
528,229,READ,HIT
529,229,WRITE,HIT
530,230,READ,MISS
531,232,READ,MISS
532,233,READ,MISS
533,235,WRITE,MISS
534,236,READ,MISS
535,237,WRITE,MISS
536,237,READ,HIT
537,237,READ,HIT
538,237,READ,HIT
539,237,READ,HIT
540,237,READ,HIT
541,238,READ,MISS
542,236,READ,HIT
543,235,WRITE,HIT
544,237,READ,HIT
545,166,READ,MISS
546,221,WRITE,MISS
547,222,WRITE,MISS
548,224,READ,MISS
549,222,READ,HIT
550,222,WRITE,HIT
551,55,READ,MISS
552,102,READ,MISS
553,100,READ,MISS
554,98,READ,MISS
555,97,WRITE,MISS
556,95,WRITE,MISS
557,93,READ,MISS
558,94,WRITE,MISS
559,92,READ,MISS
560,90,WRITE,MISS
561,92,READ,HIT
562,94,READ,HIT
563,38,READ,MISS
564,40,READ,MISS
565,23,READ,MISS
566,22,READ,MISS
567,1,READ,MISS
568,0,WRITE,MISS
569,0,WRITE,HIT
570,2,READ,MISS
571,2,WRITE,HIT
572,4,READ,MISS
573,164,READ,MISS
574,163,WRITE,MISS
575,165,READ,MISS
576,165,READ,HIT
577,164,WRITE,HIT
578,162,WRITE,MISS
579,161,READ,MISS
580,163,WRITE,HIT
581,162,READ,HIT
582,161,WRITE,HIT
583,54,READ,MISS
584,56,READ,MISS
585,55,WRITE,MISS
586,55,READ,HIT
587,55,WRITE,HIT
588,57,READ,MISS
589,57,WRITE,HIT
590,56,WRITE,HIT
591,54,READ,HIT
592,52,READ,MISS
593,53,READ,MISS
594,53,WRITE,HIT
595,54,WRITE,HIT
596,55,WRITE,HIT
597,57,READ,HIT
598,57,WRITE,HIT
599,55,READ,HIT
600,53,WRITE,HIT
601,55,WRITE,HIT
602,78,READ,MISS
603,78,READ,HIT
604,80,WRITE,MISS
605,37,WRITE,MISS
606,38,WRITE,MISS
607,38,WRITE,HIT
608,56,READ,HIT
609,54,WRITE,HIT
610,52,WRITE,HIT
611,95,READ,MISS
612,93,WRITE,MISS
613,92,WRITE,MISS
614,93,READ,HIT
615,92,WRITE,HIT
616,93,WRITE,HIT
617,93,READ,HIT
618,202,WRITE,MISS
619,246,WRITE,MISS
620,244,READ,MISS
621,244,READ,HIT
622,244,WRITE,HIT
623,245,WRITE,MISS
624,245,WRITE,HIT
625,109,READ,MISS
626,108,WRITE,MISS
627,109,READ,HIT
628,205,READ,MISS
629,156,WRITE,MISS
630,154,WRITE,MISS
631,153,READ,MISS
632,152,WRITE,MISS
633,153,WRITE,HIT
634,155,WRITE,MISS
635,110,WRITE,MISS
636,111,READ,MISS
637,110,READ,HIT
638,110,WRITE,HIT
639,111,WRITE,HIT
640,112,WRITE,MISS
641,52,READ,MISS
642,54,WRITE,MISS
643,53,WRITE,MISS
644,192,READ,MISS
645,190,READ,MISS
646,188,READ,MISS
647,188,READ,HIT
648,188,WRITE,HIT
649,190,WRITE,HIT
650,188,READ,HIT
651,186,READ,MISS
652,187,WRITE,MISS
653,188,WRITE,HIT
654,187,READ,HIT
655,187,READ,HIT
656,188,WRITE,HIT
657,189,WRITE,MISS
658,251,READ,MISS
659,250,WRITE,MISS
660,97,WRITE,MISS
661,99,READ,MISS
662,97,READ,HIT
663,97,WRITE,HIT
664,99,WRITE,HIT
665,97,WRITE,HIT
666,213,WRITE,MISS
667,212,WRITE,MISS
668,210,READ,MISS
669,209,READ,MISS
670,209,READ,HIT
671,209,READ,HIT
672,211,WRITE,MISS
673,211,WRITE,HIT
674,212,WRITE,HIT
675,212,WRITE,HIT
676,210,READ,HIT
677,210,WRITE,HIT
678,209,READ,HIT
679,211,WRITE,HIT
680,209,WRITE,HIT
681,210,WRITE,HIT
682,239,READ,MISS
683,239,READ,HIT
684,239,READ,HIT
685,240,READ,MISS
686,240,WRITE,HIT
687,242,READ,MISS
688,241,WRITE,MISS
689,239,WRITE,HIT
690,241,WRITE,HIT
691,241,READ,HIT
692,243,WRITE,MISS
693,71,READ,MISS
694,71,READ,HIT
695,69,READ,MISS
696,68,READ,MISS
697,66,WRITE,MISS
698,67,WRITE,MISS
699,65,WRITE,MISS
700,67,WRITE,HIT
701,65,WRITE,HIT
702,163,READ,MISS
703,161,WRITE,MISS
704,159,READ,MISS
705,159,READ,HIT
706,160,WRITE,MISS
707,160,WRITE,HIT
708,160,WRITE,HIT
709,16,READ,MISS
710,17,WRITE,MISS
711,73,WRITE,MISS
712,75,WRITE,MISS
713,73,READ,HIT
714,75,WRITE,HIT
715,75,READ,HIT
716,76,WRITE,MISS
717,190,WRITE,MISS
718,188,WRITE,MISS
719,190,READ,HIT
720,34,READ,MISS
721,35,READ,MISS
722,34,WRITE,HIT
723,35,READ,HIT
724,33,WRITE,MISS
725,31,READ,MISS
726,32,READ,MISS
727,31,WRITE,HIT
728,33,WRITE,HIT
729,33,WRITE,HIT
730,31,READ,HIT
731,33,READ,HIT
732,33,READ,HIT
733,32,WRITE,HIT
734,33,WRITE,HIT
735,207,READ,MISS
736,208,READ,MISS
737,208,READ,HIT
738,207,WRITE,HIT
739,209,READ,MISS
740,207,WRITE,HIT
741,205,READ,MISS
742,14,READ,MISS
743,12,READ,MISS
744,12,READ,HIT
745,13,READ,MISS
746,14,WRITE,HIT
747,16,WRITE,MISS
748,16,WRITE,HIT
749,2,READ,MISS
750,94,WRITE,MISS
751,147,WRITE,MISS
752,156,READ,MISS
753,74,WRITE,MISS
754,74,READ,HIT
755,73,READ,MISS
756,73,READ,HIT
757,72,WRITE,MISS
758,70,READ,MISS
759,71,WRITE,MISS
760,93,READ,MISS
761,93,READ,HIT
762,92,READ,MISS
763,91,READ,MISS
764,191,WRITE,MISS
765,133,WRITE,MISS
766,132,READ,MISS
767,131,READ,MISS
768,130,WRITE,MISS
769,129,READ,MISS
770,128,READ,MISS
771,130,READ,HIT
772,128,WRITE,HIT
773,128,READ,HIT
774,126,WRITE,MISS
775,126,READ,HIT
776,127,READ,MISS
777,126,READ,HIT
778,128,READ,HIT
779,84,WRITE,MISS
780,82,WRITE,MISS
781,82,READ,HIT
782,82,READ,HIT
783,82,READ,HIT
784,84,READ,HIT
785,128,READ,HIT
786,129,READ,HIT
787,127,READ,HIT
788,126,READ,HIT
789,221,READ,MISS
790,221,READ,HIT
791,169,WRITE,MISS
792,170,WRITE,MISS
793,171,WRITE,MISS
794,171,WRITE,HIT
795,173,READ,MISS
796,171,WRITE,HIT
797,170,READ,HIT
798,171,READ,HIT
799,169,WRITE,HIT
800,171,WRITE,HIT
801,171,WRITE,HIT
802,71,WRITE,MISS
803,179,WRITE,MISS
804,236,READ,MISS
805,234,WRITE,MISS
806,232,READ,MISS
807,10,WRITE,MISS
808,9,READ,MISS
809,11,WRITE,MISS
810,13,WRITE,MISS
811,150,READ,MISS
812,152,READ,MISS
813,153,WRITE,MISS
814,155,READ,MISS
815,155,WRITE,HIT
816,88,READ,MISS
817,109,READ,MISS
818,111,READ,MISS
819,110,WRITE,MISS
820,56,READ,MISS
821,56,READ,HIT
822,58,READ,MISS
823,56,READ,HIT
824,58,READ,HIT
825,57,READ,MISS
826,98,READ,MISS
827,100,READ,MISS
828,113,READ,MISS
829,111,WRITE,HIT
830,111,READ,HIT
831,112,WRITE,MISS
832,113,WRITE,HIT
833,184,READ,MISS
834,246,READ,MISS
835,248,WRITE,MISS
836,248,WRITE,HIT
837,248,WRITE,HIT
838,246,READ,HIT
839,248,READ,HIT
840,249,READ,MISS
841,248,WRITE,HIT
842,247,READ,MISS
843,104,WRITE,MISS
844,106,READ,MISS
845,106,READ,HIT
846,106,READ,HIT
847,107,WRITE,MISS
848,64,READ,MISS
849,62,READ,MISS
850,62,READ,HIT
851,60,WRITE,MISS
852,61,WRITE,MISS
853,122,READ,MISS
854,124,WRITE,MISS
855,122,READ,HIT
856,121,WRITE,MISS
857,205,WRITE,MISS
858,48,READ,MISS
859,50,WRITE,MISS
860,49,WRITE,MISS
861,48,WRITE,HIT
862,46,READ,MISS
863,46,WRITE,HIT
864,47,READ,MISS
865,243,READ,MISS
866,241,WRITE,MISS
867,242,WRITE,MISS
868,244,READ,MISS
869,243,READ,HIT
870,207,WRITE,MISS
871,140,READ,MISS
872,169,READ,MISS
873,169,WRITE,HIT
874,168,READ,MISS
875,169,READ,HIT
876,168,WRITE,HIT
877,166,READ,MISS
878,164,WRITE,MISS
879,163,READ,MISS
880,163,READ,HIT
881,161,WRITE,MISS
882,162,WRITE,MISS
883,160,WRITE,MISS
884,161,READ,HIT
885,48,WRITE,MISS
886,47,WRITE,HIT
887,45,READ,MISS
888,47,READ,HIT
889,46,WRITE,MISS
890,47,READ,HIT
891,48,READ,HIT
892,48,WRITE,HIT
893,122,READ,MISS
894,121,READ,MISS
895,123,WRITE,MISS
896,125,READ,MISS
897,125,READ,HIT
898,209,READ,MISS
899,219,WRITE,MISS
900,218,READ,MISS
901,220,WRITE,MISS
902,220,WRITE,HIT
903,221,READ,MISS
904,135,WRITE,MISS
905,137,READ,MISS
906,139,WRITE,MISS
907,137,READ,HIT
908,92,READ,MISS
909,212,WRITE,MISS
910,57,READ,MISS
911,137,READ,HIT
912,137,READ,HIT
913,137,WRITE,HIT
914,139,WRITE,HIT
915,141,WRITE,MISS
916,143,READ,MISS
917,145,READ,MISS
918,146,READ,MISS
919,146,READ,HIT
920,144,READ,MISS
921,145,READ,HIT
922,144,WRITE,HIT
923,146,WRITE,HIT
924,147,READ,MISS
925,148,WRITE,MISS
926,146,READ,HIT
927,11,READ,MISS
928,166,READ,MISS
929,168,WRITE,MISS
930,167,READ,MISS
931,44,READ,MISS
932,43,READ,MISS
933,41,READ,MISS
934,39,WRITE,MISS
935,41,READ,HIT
936,41,WRITE,HIT
937,41,READ,HIT
938,40,WRITE,MISS
939,40,WRITE,HIT
940,42,WRITE,MISS
941,40,WRITE,HIT
942,38,WRITE,MISS
943,16,READ,MISS
944,14,READ,MISS
945,235,READ,MISS
946,234,READ,MISS
947,235,READ,HIT
948,235,WRITE,HIT
949,236,READ,MISS
950,235,WRITE,HIT
951,234,WRITE,HIT
952,233,READ,MISS
953,232,WRITE,MISS
954,134,READ,MISS
955,132,READ,MISS
956,204,READ,MISS
957,204,WRITE,HIT
958,202,WRITE,MISS
959,201,READ,MISS
960,202,READ,HIT
961,201,READ,HIT
962,201,WRITE,HIT
963,200,READ,MISS
964,200,WRITE,HIT
965,201,WRITE,HIT
966,199,READ,MISS
967,201,READ,HIT
968,200,READ,HIT
969,202,READ,HIT
970,200,WRITE,HIT
971,198,WRITE,MISS
972,196,WRITE,MISS
973,196,WRITE,HIT
974,195,READ,MISS
975,197,READ,MISS
976,114,WRITE,MISS
977,113,READ,MISS
978,115,WRITE,MISS
979,116,WRITE,MISS
980,94,WRITE,MISS
981,95,READ,MISS
982,94,READ,HIT
983,171,READ,MISS
984,170,READ,MISS
985,172,READ,MISS
986,173,READ,MISS
987,174,WRITE,MISS
988,173,WRITE,HIT
989,31,READ,MISS
990,218,WRITE,MISS
991,216,READ,MISS
992,215,READ,MISS
993,213,WRITE,MISS
994,212,READ,MISS
995,210,WRITE,MISS
996,122,WRITE,MISS
997,122,READ,HIT
998,124,WRITE,MISS
999,123,WRITE,MISS
1000,125,READ,MISS
1001,184,READ,MISS
1002,183,READ,MISS
1003,183,READ,HIT
1004,182,WRITE,MISS
1005,182,WRITE,HIT
1006,181,READ,MISS
1007,180,READ,MISS
1008,181,WRITE,HIT
1009,180,WRITE,HIT
1010,178,WRITE,MISS
1011,179,READ,MISS
1012,179,WRITE,HIT
1013,178,READ,HIT
1014,180,WRITE,HIT
1015,182,WRITE,HIT
1016,183,READ,HIT
1017,184,WRITE,HIT
1018,185,READ,MISS
1019,184,READ,HIT
1020,183,WRITE,HIT
1021,184,WRITE,HIT
1022,182,WRITE,HIT
1023,184,READ,HIT
1024,186,READ,MISS
1025,186,READ,HIT
1026,73,WRITE,MISS
1027,72,READ,MISS
1028,71,WRITE,MISS
1029,70,WRITE,MISS
1030,68,READ,MISS
1031,70,READ,HIT
1032,73,READ,HIT
1033,75,READ,MISS
1034,77,READ,MISS
1035,79,READ,MISS
1036,80,WRITE,MISS
1037,80,WRITE,HIT
1038,108,READ,MISS
1039,110,WRITE,MISS
1040,112,WRITE,MISS
1041,145,WRITE,MISS
1042,143,WRITE,MISS
1043,143,READ,HIT
1044,142,WRITE,MISS
1045,140,WRITE,MISS
1046,91,WRITE,MISS
1047,93,READ,MISS
1048,95,READ,MISS
1049,97,READ,MISS
1050,97,READ,HIT
1051,99,WRITE,MISS
1052,97,READ,HIT
1053,181,READ,MISS
1054,181,WRITE,HIT
1055,116,WRITE,MISS
1056,118,READ,MISS
1057,119,READ,MISS
1058,119,READ,HIT
1059,96,WRITE,MISS
1060,98,WRITE,MISS
1061,97,WRITE,HIT
1062,159,READ,MISS
1063,159,WRITE,HIT
1064,158,READ,MISS
1065,160,WRITE,MISS
1066,161,READ,MISS
1067,162,READ,MISS
1068,160,WRITE,HIT
1069,162,READ,HIT
1070,154,READ,MISS
1071,154,WRITE,HIT
1072,156,READ,MISS
1073,155,WRITE,MISS
1074,153,WRITE,MISS
1075,151,READ,MISS
1076,152,READ,MISS
1077,153,READ,HIT
1078,155,READ,HIT
1079,154,READ,HIT
1080,156,WRITE,HIT
1081,154,WRITE,HIT
1082,154,READ,HIT
1083,156,READ,HIT
1084,155,READ,HIT
1085,155,READ,HIT
1086,153,READ,HIT
1087,154,WRITE,HIT
1088,156,WRITE,HIT
1089,158,WRITE,HIT
1090,158,WRITE,HIT
1091,55,READ,MISS
1092,56,WRITE,MISS
1093,56,READ,HIT
1094,54,READ,MISS
1095,35,WRITE,MISS
1096,33,READ,MISS
1097,33,READ,HIT
1098,35,READ,HIT
1099,36,READ,MISS
1100,34,READ,MISS
1101,36,READ,HIT
1102,34,READ,HIT
1103,36,WRITE,HIT
1104,37,WRITE,MISS
1105,39,READ,MISS
1106,38,WRITE,MISS
1107,37,READ,HIT
1108,136,WRITE,MISS
1109,134,READ,MISS
1110,136,READ,HIT
1111,183,WRITE,MISS
1112,184,WRITE,MISS
1113,185,WRITE,MISS
1114,186,WRITE,MISS
1115,184,READ,HIT
1116,183,WRITE,HIT
1117,184,READ,HIT
1118,183,WRITE,HIT
1119,184,READ,HIT
1120,186,WRITE,HIT
1121,188,WRITE,MISS
1122,186,WRITE,HIT
1123,129,WRITE,MISS
1124,128,WRITE,MISS
1125,127,WRITE,MISS
1126,129,READ,HIT
1127,129,WRITE,HIT
1128,129,WRITE,HIT
1129,127,WRITE,HIT
1130,129,WRITE,HIT
1131,128,WRITE,HIT
1132,127,WRITE,HIT
1133,128,READ,HIT
1134,79,READ,MISS
1135,79,READ,HIT
1136,77,READ,MISS
1137,228,WRITE,MISS
1138,226,WRITE,MISS
1139,55,READ,MISS
1140,159,WRITE,MISS
1141,159,WRITE,HIT
1142,135,WRITE,MISS
1143,135,WRITE,HIT
1144,136,READ,HIT
1145,134,READ,MISS
1146,45,WRITE,MISS
1147,45,WRITE,HIT
1148,45,WRITE,HIT
1149,46,READ,MISS
1150,44,READ,MISS
1151,44,WRITE,HIT
